url,value,value item,justification
https://developer.android.com/reference/android/car/content/pm/package-summary.html,Security,Healthy,The API includes a CarPackageManager class which provides car-specific API related to package management. This promotes the value of security as it allows app users to ensure that their car-related apps and packages are managed and secured properly.
https://developer.android.com/reference/android/car/content/pm/package-summary.html,Achievement,Ambitious,The API documentation states that it was added in API level 29. This shows that the API is constantly being developed and improved; indicating the value of achievement as it demonstrates ambition and the desire to create a successful and influential product for app users.
https://developer.android.com/reference/android/car/drivingstate/package-summary.html,Security,Healthy,The API supports the CarUxRestrictions.UX_RESTRICTIONS_LIMIT_CONTENT functionality; which restricts the display of certain content while driving. This feature promotes a sense of security by ensuring that app users are not distracted by inappropriate or potentially dangerous content while operating their vehicles.
https://developer.android.com/reference/android/car/drivingstate/package-summary.html,Benevolence,Mature Love,The API includes the CarUxRestrictions.UX_RESTRICTIONS_NO_TEXT_MESSAGE option; which restricts the use of text messaging while driving. This feature promotes mature love and responsible behavior by encouraging app users to prioritize their own safety and the safety of others on the road.
https://developer.android.com/reference/android/car/drivingstate/package-summary.html,Universalism,Social Justice,The API provides the CarUxRestrictions.UX_RESTRICTIONS_NO_VOICE_TRANSCRIPTION capability; which restricts the use of voice transcription while driving. This feature supports social justice by ensuring that app users are not engaging in activities that could lead to distracted driving; thereby promoting safer roads for everyone.
https://developer.android.com/reference/android/car/hardware/package-summary.html,Universalism,Social Justice,"The API documentation mentions the ""Protecting the Environment"" value item in the annotation ""CarPropertyValue.PropertyStatus"" which allows app users to monitor the status of car sensor data related to the environment. This promotes the value of protecting the environment as users can stay informed about environmental conditions."
https://developer.android.com/reference/android/car/hardware/package-summary.html,Security,Healthy,"The API documentation mentions the ""Healthy"" value item in the class ""CarSensorEvent.EnvironmentData"" where users can access sensor data related to environmental conditions; such as temperature. This promotes the value of health and well-being as users can monitor temperature conditions in their car environment."
https://developer.android.com/reference/android/car/hardware/package-summary.html,Achievement,Ambitious,"The API documentation mentions the ""Ambitious"" value item in the class ""CarPropertyConfig"" where users can access and configure car property information. This promotes the value of ambition as users can have control over their car settings and customize them according to their ambitions."
https://developer.android.com/reference/android/car/hardware/package-summary.html,Universalism,Broadmindedness,"The API documentation mentions the ""Broadmindedness"" value item in the interface ""CarSensorManager.OnSensorChangedListener"" where users can listen for changes in car sensor data. This promotes the value of broadmindedness as users are open to receiving and processing diverse sensor data from different aspects of their car."
https://developer.android.com/reference/android/car/media/package-summary.html,Security,Sense of Belonging,The CarAudioManager API in Android provides APIs for handling audio in a car. This includes features such as adjusting the volume and audio settings. By allowing app users to customize and control the audio settings in their car; the API supports their sense of belonging and security by providing a familiar and comfortable audio experience while driving.
https://developer.android.com/reference/android/car/media/package-summary.html,Tradition,Respect for Tradition,The CarMediaIntents API in Android defines media-related intents and extras for the car. This includes intents for playing media; selecting media sources; and controlling media playback. By providing a standardized and consistent interface for media-related actions in the car; the API supports app users' respect for tradition by adhering to established conventions and providing a familiar and intuitive user experience.
https://developer.android.com/reference/android/car/media/package-summary.html,Benevolence,Helpful,The CarAudioManager API in Android provides APIs for handling audio in a car. This includes features such as adjusting the volume and audio settings. By allowing app users to customize and control the audio settings in their car; the API supports their value of helpfulness by enabling them to create a comfortable and enjoyable audio experience for themselves and others in the car.
https://developer.android.com/reference/android/car/media/package-summary.html,Security,Healthy,The CarAudioManager API in Android provides APIs for handling audio in a car. This includes features such as adjusting the volume and audio settings. By allowing app users to customize and control the audio settings in their car; the API supports their value of health by ensuring a safe and appropriate audio level while driving.
https://developer.android.com/reference/android/car/settings/package-summary.html,Self Direction,Independent,The CarConfigurationManager class in API allows app users to configure and customize various aspects of their car settings; providing them with independence and the ability to make their own choices.
https://developer.android.com/reference/android/car/settings/package-summary.html,Achievement,Capable,The CarConfigurationManager class in API allows app users to configure their car's settings in a way that reflects their intelligence and capability; as they can make informed decisions about the car's configuration.
https://developer.android.com/reference/android/car/settings/package-summary.html,Benevolence,Helpful,The CarConfigurationManager class in API enables app users to configure and set up their car in a way that promotes helpfulness; as they can customize the car to their specific needs and preferences.
https://developer.android.com/reference/android/media/package-summary.html,Self Direction,Privacy,"The ""API"" includes the AudioManager.OnAudioFocusChangeListener interface; which allows app users to prioritize and manage their audio focus. This promotes privacy as users can control which app has audio focus and can prevent unwanted interruptions or overlaps of audio."
https://developer.android.com/reference/android/media/package-summary.html,Benevolence,Responsibility,"The ""API"" includes the MediaPlayer.OnErrorListener interface; which allows app users to be notified when there is an error during media playback. This promotes responsibility as users can be aware of any issues with the media they are consuming and take appropriate action."
