Technology,Library/Theme,API,URL,Coder 1,Coder1-Self-Direction,Coder1-Stimulation,Coder1-Hedonism,Coder1-Achievement,Coder1-Power,Coder1-Security,Coder1-Tradition,Coder1-Conformity,Coder1-Benevolence,Coder1-Universalism,Coder2-Self-Direction,Coder2-Stimulation,Coder2-Hedonism,Coder2-Achievement,Coder2-Power,Coder2-Security,Coder2-Tradition,Coder2-Conformity,Coder2-Benevolence,Coder2-Universalism
Android+,Animations,Bubble Picker,https://github.com/igalata/Bubble-Picker,Coder-A,Non-Relevant,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,APT,GsonValue,https://github.com/evant/gsonvalue,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Database Browsers,SQLite DB Bowser,http://sqlitedbrowser.sourceforge.net,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Security,keystore-secure,https://github.com/tntkhang/keystore-secure,Coder-A,Non-Relevant,Non-Relevant,Enjoying Life,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Range Bars,DiscreteSeekBar,https://github.com/AnderWeb/discreteSeekBar,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Wearable Data Layer,RxWear,https://github.com/patloew/RxWear,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
Android+,Text Formatting,DateTimeTemplate,https://github.com/MarcinOrlowski/datetimetemplate,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Equality,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Helpful,Equality
Android+,Database,Easy Data Sorage,https://github.com/neeloyghosh1990/EasyDataStorage,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Other,Non-Relevant,Non-Relevant,Helpful,Non-Relevant
Android+,Image Loaders,Parrot,https://github.com/matteocrippa/Parrot,Coder-A,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Helpful,Non-Relevant
Android+,Blur Effects,MultiShapeBlurView,https://github.com/Adnan865/MultiShapeBlurView,Coder-A,Creativity,Non-Relevant,Pleasure,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Creativity,Non-Relevant,Pleasure,Capabale,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant,Non-Relevant
